text,sentiment
ماهي آرائكم متتبعي الكرام,pos
عبقرية المدرب وروعة اللاعبين,pos
أمة عربية واحدة خالدة,pos
عاد إليكم من جديد وأخيرا درت جيم لهاد الصفحة,pos
الله يخلف عليك سيدي محمد,pos
أشارك في تمام الساعة في نشرة أخبار الجزيرة لمناقشة التوتر السعودي المغربي وسحب الرباط سفيرها من الرياض,neu
هجومك يا أخي على حسن طارق تبرهيش و قلة عقل ودليل انعدام غرام ديال المنطق,neg
أمين عام حزب سياسي كينشر تدوينة وكيدير ليها جيم,neu
أجي بعدا فين غبرات واحد الحمى القلاعية شفت ما بقات هضرة عليها,neu
إغلاق ثلاث بيوت لأعضاء الجماعة في القنيطرة والدار البيضاء وأكادير,neu
الشعب الياباني الشقيق بعد الإسلام,neu
أنفلوانزا الخنازير مسؤول عليها وزير الصحة والحكومة والدولة ياك والحمى القلاعية واش نقدرو نقولو أن هو اللي مسؤول عليها,neu
الدولة تعلن أن الوضع تحت السيطرة,pos
واحد السؤال وما تديروهاش مني قلة الصواب واش بنكيران هو اللي زاد في ضريبة السيارات,neu
شكرا يوسف سفري بوعميرة وبنحليب ديما راجا,pos
الجالية الإماراتية المقيمة في المغرب قلوبنا معكم و لن نترككم ويمكنكم في الهزائم أن تراهنوا علينا وكفى,pos
متى تعلن الدولة انتصارها على المجتمع من خلال حربها المفتوحة على أبنائه والذين من بينهم اعتقلته غربته بعيدا عن أهله جردته من ثيابه بطريقة مهينة أدانته ب سجنا نافذة واليوم تخفي عنه جلطة دماغية تهدده بالشلل,neg
الدولة اللي تعاقدات مع رحال باش توكل السجناء واش ما تقدرش تتعاقد مع الشيخ زايد باش تداويهم,neu
أنفلوانزا الخنازير تقتل سيدة حاملا في المغرب وزارة الصحة قالت قبل الوفاة إن الوضعية الوبائية للإنفلونزا لا تدعو إلى القلق,neg
من يكون هذا السمسار الذي أقنع أفضل لاعبي منتخب المغرب بالهرب من دوريات أوروبا للعب في دوريات الخليج,neu
الله على أخلاقك يا فخر العرب,pos
انقلاب فاشل في فينزويلا رئيس البرلمان ينصب نفسه رئيسا الجيش يرفض الانقلاب أمريكا وكولومبيا والبرازيل تعترف بالمنقلب رئيسا والاتحاد الأوروبي يدعو للتهدئة ولانتخابات حرة هذا الغرب الامبريالي وضيع جدا,neg
بنكيران كان من دعاة الملكية البرلمانية بعد ان منحه الملك تقاعدا استثنائيا أصبح من دعاة الملكية التنفيذية,neu
بمناسبة هل تغير المغرب إلى الأحسن أم الأسوإ في رأيي أنه جاب دورة على راسو ورجع لبلاصتو ديال,neg
ليرتفع منك المعنى لا الصوت فإن مايجعل الزهر ينبت ويتفتح هو المطر لا الرعد,pos
جاء إضراب الحوانت في الرباط وسلا وجاب معاه الشتاء يا سلام الرواح غادي يمشي,pos
الله يخلي لنيا العونيات,pos
الحكومة تتوقف عن تطبيق تعديلات مدونة الضرائب خوفا من توسع احتجاجات التجار,neu
اول مداخل هذا التغيير الذي سيدعمه كثيرةن هو الصراحة والوضوح للأسف إنها تغرق في الغموض,neg
حدراف لاعب كبير وغادي يبقى كبير وبلاصتو كاينة في الرجاء وفي المنتخب دار خطأ آه ولكنه لاعب أكثر من رائع,pos
مبروك للوداد والوداديين ديما راجا,pos
بلاغ مشترك من مجموعات ألتراس الرجاء والوداد بمقاطعة مباراة الديربي احتجاجا على إغلاق مركب محمد الخامس,neu
أشياء كثيرة تمنيت حصولها في ولم تتحقق أبرزها أن تستعيد دولتنا عقلها وأن توقف حربها ضد المجتمع وممثليه صحافة سياسيين مناضلين وأن يؤسس عبد الإله بنكيران تجربة سياسية جديدة,neg
جمهور الكرة رجل السنة في المغرب,pos
جميل جدا السي يونس,pos
مسيرات تعم فرنسا و ارتقى فيها شهداء والحكومة تعطل عددا من المؤسسات بالبلاد,neg
الإسلام الذي حرصت مدرسة الحركة الإسلامية على تعليمه للملتحقين بها قسم التراث إلى شقين وحي و تاريخ فالوحي سرمدي والتاريخ تجربة خاصة لمجتمع معين ولفرد من هذا المجتمع لا تلزم أحدا واعتبرت مدرسة الحركة,neu
شدوه في الحبس يتربى تعلم فنون الحرب وقتل واحد في فيديو كليب شافو نص مليون إنسان في ساعات واربي هانت تشوف زهرنا كيداير,neg
التعليق ديال العثماني زايدو واحد الشاب ماشي أصلي ولكن جا معاه,neu
قراران لمجلس الشيوخ الأمريكي هذه الليلة إدانة ولي العهد محمد بن سلمان واعتباره مسؤولا عن جريمة وقف الدعم الامريكي للسعودية في حرب اليمن,neg
من اجمل ما سمعته في الملاعب العربية والعالمية نبض الشعوب تحية لأهلنا في المغرب,pos
هادي آخر كلمة عندي نكتبها من قلبي والدمعة في عيني,neg
هل وصفت أحزاب الأغلبية الحكومية الفرنسية المستقلة عن تحكم الدولة المتظاهرين بالانفصال,neu
المغرب مع المدرب الفرنسي رونار أفضل من البرازيل في الكرة واي لقاء بيناتهم غادي نربحو البرازيل بواحد لصفر,pos
رحمها الله ورزقكم الصبر واسكنها الفردوس الاعلى من الجنة,pos
طبعا بسبب التهرب الضريبي,neg
يا راجل اتق الله عيب عيب,neg
اذكرهم لنا حتى نبحث عن قضاياهم وقصصهم,neu
شي نقابيين عوض يتحملو المسؤولية ويروينا حنة يديهم بداو يتهموا التلاميذ بالانخراط في مؤامرة كونية ضد عيش وماتحضيش,neg
حنا فاش كنا تلاميذ كنا كنديرو احتجاجات بعقلها وكنا عارفين معى التظاهر وعارفين أشنو الرسائل اللي بغينا نوصلو هاد الدراري ديال دابا زايغين وصافي وماعندهمش الوعي اللازم لخوض معركة نضالية,neg
عاجل اضطراب حركة الترامواي بين الرباط وسلا بسبب مسيرات التلاميذ,neu
تلاميذ المغرب يواصلون الاحتجاج على على أمل أن تعلق بنصف كلمة تتفهم مطالب مستقبل المغرب,neg
علاش جمهور الوداد كاعي على تهراس بعض الكراسي في طنجة وساكت على تهراس بعض الكراسي في فاس,neu
لا تكسر قلب يتيم حتى لا يكسر الله قلبك,neu
هادو كيبينو انهم ماشي غير كيشجعو فرقة دالكورة هادو ناس يترفع ليهم الشابو,pos
الشعب مقهور والتعليم رجع اللور,neg
من نتائج انتصار العثماني إعلاميا على الدارجة حسمه دعم كل برلمان البيجيدي حتى قبل انعقاده,neu
دانون سونطرال بدأت تواصلها مع المغاربة بنعتهم الخونة وأنهته بنقص دريال والنشطاء يشيدون بحكمة الشركة,neu
خويا غير سجلت ملاحظة بروح رياضية وصافي,pos
عيد مبارك سعيد وكل عام وأنتم بخير تقبل الله منكم ورزقا سعادة وفرحا وحبورا,pos
قلب الأم باختصار الله يسمح لينا من الوالدين,pos
كانوا الناس باغيين روسيا تتأهل هي مابقات كورة,neg
مخابرات فرنسا وألمانيا والجزائر تكشف انقلابا إماراتيا في تونس بتعاون مع وزير الداخلية المقال,neu
حمدو الله وشكروه الوقفة كانت في الليل اما كون الداودي فطر المغاربة فطر المغاربة قبل العصر,pos
